tweets,len,ID,Date,Source,Likes,RTs,location,UserName,Name,clean tweets,clean tweet length
@A12ab2a1 مرحباً بك، للأسف لا يتوفر أكواد خصم بالوقت الحالي ولكن يمكنك الاستمتاع بالعروض المتوفرة حالياً على موقعنا. شكرا لك.,1,1236778966251450369,2020-03-08 22:20:58,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, مرحباً بك لاسف لا يتوفر اكواد خصم بالوقت الحالي ولكن يمكنك الاستمتاع بالعروض المتوفره حالياً علي موقعنا شكرا لك,112
@xhrts_ وعليكم السلام، نحترم رغبتك في الإلغاء، نرجو منك تزويدنا بسبب الإلغاء عبر الخاص لنتمكن من مساعدتك بشكل أفضل، شكرًا لك.,1,1236773090748751873,2020-03-08 21:57:37,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, وعليكم السلام نحترم رغبتك في الالغاء نرجو منك تزويدنا بسب الالغاء عبر الخاص لنتمكن من مساعدتك بشكل افضل شكرًا لك,113
@5_5_RT نعتذر منك إن بدر أي سوء تفاهم بخصوص سعر المنتج، وسيتم التواصل معك في أسرع وقت ممكن. شكرًا لك.,1,1236761908822396928,2020-03-08 21:13:11,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, نعتذر منك ان بدر اي سوء تفاهم بخصوص سعر المنتج وسيتم التواصل معك في اسرع وقت مكن شكرًا لك,90
@5_5_RT مرحبًا بك، نأسف إن بدر أي سوء تفاهم بخصوص سعر المنتج، سيتم التواصل معك في غضون ٤ الى ٦ ساعات عمل، علمًا أن ساعات العمل هي من التاسعة صباحًا حتى التاسعة مساءً، شكرًا لك.,1,1236755190554021894,2020-03-08 20:46:29,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, مرحبًا بك ناسف ان بدر اي سوء تفاهم بخصوص سعر المنتج سيتم التواصل معك في غضون ٤ الي ٦ ساعات عمل علمًا ان ساعات العمل هي من التاسعه صباحًا حتي التاسعه مساءً شكرًا لك,164
@msa19882 نرجو منك التواصل معنا بتفاصيل طلبك عبر الخاص وسنكون أكثر من سعداء لتقديم المساعدة. شكرًا لك.,1,1236747737753935875,2020-03-08 20:16:52,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, نرجو منك التواصل معنا بتفاصيل طلبك عبر الخاص وسنكون اكثر من سعداء لتقديم المساعده شكرًا لك,91
"@RaF1786 مرحباً، شكراً لإتهمامك، 
قمنا برفع الأمر حتى يتم التحقق من الأسعار مع البائع و إتخاذ الإجراء الآزم.",1,1236746575868813313,2020-03-08 20:12:15,Other,0,1,Saudi Arabia,noon_cares,نون لخدمة العملاء, مرحباً شكراً لاتهمامك  قمنا برفع الامر حتي يتم التحق من الاسعار مع البائع و اتخاذ الاجراء الازم,96
@ahhmd_9 مرحبا بك، لقد تم الرد على الخاص، شكرا لك.,1,1236744092337520640,2020-03-08 20:02:23,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, مرحبا بك لقد تم الرد علي الخاص شكرا لك,39
@tuuoty وعليكم السلام، يرجى منك التواصل معنا عبر الخاص، وسنكون أكثر من سعداء لمساعدتك. شكرًا لك.,1,1236740266217914368,2020-03-08 19:47:11,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, وعليكم السلام يرجي منك التواصل معنا عبر الخاص وسنكون اكثر من سعداء لمساعدتك شكرًا لك,85
@salem_alnuaimii مرحباً بك، يرجى تزويدنا بتفاصيل حسابك عبر الخاص لنتمكن من المساعدة بشكل افضل، شكراً لك.,1,1236739918661124096,2020-03-08 19:45:48,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, مرحباً بك يرجي تزويدنا بتفاصيل حسابك عبر الخاص لنتمكن من المساعده بشكل افضل شكراً لك,85
@OD3wad مرحبًا بك، نعتذر عن ذلك، نود التوضيح أننا قمنا بتمرير الأمر للفريق المعني ليتم النظر به في غضون ٧٢ ساعة والعمل على محاولة إتخاذ الإجراء اللازم وفي أسرع وقت، للمزيد حول الإرجاع نرجو منك التواصل عبر الخاص لتتم إفادتك بالتفاصيل، شكرًا لك.,1,1236737732589891584,2020-03-08 19:37:07,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, مرحبًا بك نعتذر عن ذلك نود التوضيح انا قمنا بتمرير الامر لفريق المعني ليتم النظر به في غضون ٧٢ ساعه والعمل علي محاوله اتخاذ الاجراء الازم وفي اسرع وقت لمزيد حول الارجاع نرجو منك التواصل عبر الخاص لتم افادتك بالتفاصيل شكرًا لك,226
@monis557 مرحبًا بك، الرجاء تفقد الخاص، حيث تم الرد على استفسارك، شكرًا لك.,1,1236733532623507458,2020-03-08 19:20:26,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, مرحبًا بك الرجاء تفقد الخاص حيث تم الرد علي استفسارك شكرًا لك,62
@nadosah__ نود التوضيح أن مبلغ ال VAT هو مبلغ الضريبة. شكرًا لك.,1,1236732543698903040,2020-03-08 19:16:30,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, نود التوضيح ان مبلغ ال VAT هو مبلغ الضريبه شكرًا لك,52
@AEltanahi You are most welcome!,1,1236731360796192771,2020-03-08 19:11:48,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, You are most welcome,21
@AEltanahi مساء النور، تم إلغاء الطلب حسب رغبتك، وإن كان لديك أي إستفسار آخر لا تتردد في التواصل معنا، شكراً لك.,1,1236730925985271816,2020-03-08 19:10:04,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, مساء النور تم الغاء الطلب حسب رغبتك وان كان لديك اي استفسار اخر لا ترد في التواصل معنا شكراً لك,96
@WwwFotom يرجى العلم أنه قد تم الرد عليك عبر الخاص. شكرًا لك.,1,1236730660968108038,2020-03-08 19:09:01,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, يرجي العلم انه قد تم الرد عليك عبر الخاص شكرًا لك,50
@H920tb مرحباً، لقد قمنا بالرد على الخاص، ونتمنى أن نكون قد تمكنا من المساعدة، شكراً لك.,1,1236727466074542086,2020-03-08 18:56:19,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, مرحباً لقد قمنا بالرد علي الخاص ونتمني ان نكون قد تمكنا من المساعده شكراً لك,77
@x4t16 مرحباً، لقد تم الرد على إستفسارك عبر الخاص. شكراً لك.,1,1236708710556282881,2020-03-08 17:41:48,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, مرحباً لقد تم الرد علي استفسارك عبر الخاص شكراً لك,51
@Hamdan3003 نود التوضيح أن الوقت المتوقع للوصول يكون على نفس صفحة القطعة قبل طلبها، شكرًأ لك.,1,1236707375702302724,2020-03-08 17:36:29,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, نود التوضيح ان الوقت المتوقع لوصول يكون علي نفس صفحه القطعه قبل طلبها شكرًا لك,79
@kaliiidd و عليكم السلام و رحمة الله و بركاته، نعتذر منك حيث أنه لا يوجد لدينا أي اطلاع على الأمر، وفي حال تم قبولك والموافقة عليك، فسيتم إطلاعك على جميع التفاصيل من طرف قسم الموارد البشرية. مع الشكر.,1,1236702042405683208,2020-03-08 17:15:18,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, و عليكم السلام و رحمه اله و بركاته نعتذر منك حيث انه لا يوجد لدينا اي اطلاع علي الامر وفي حال تم قبولك والموافقه عليك فسيتم اطلاعك علي جميع التفاصيل من طرف قسم الموارد البشريه مع الشكر,185
